sample_reason,ticker,report_id,directory_year,passage_id,passage_index,heading_text,word_count,passage_type,category,suggested_action,alignment_status,confidence,text_excerpt
category:caption_or_label_like,SDL,67ce190f-2d0c-4c58-ab57-aee35a812471,2024,bb852319-37f8-46c9-8ffe-b3009ff53364,26,Figure 2: Platinum Group Metal + Gold Prill Split,169,HEADING_WITH_BODY,caption_or_label_like,EXCLUDE,LIGHTLY_MODIFIED,NEEDS_REVIEW,"Figure 2: Platinum Group Metal + Gold Prill Split  Palladium (Pd): Palladium is another essential PGM found in the Bushveld Complex. It is valued for its use in catalytic converters, especially in gasoline-powered vehicles and hybrid vehicl"
category:contents_or_index_like,ACT,71c5bb69-2abf-4b9a-8167-cc0fc0645540,2016,0264b699-bebf-4ee5-b49f-45d6fc05a039,3,CONTENTS,1,HEADING_WITH_BODY,contents_or_index_like,EXCLUDE,REMOVED,MEDIUM,CONTENTS
category:contents_or_index_like,ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,f9a1b7fd-0ea3-431a-9be6-dd27080ea661,37,REPORT INTEGRATED REPORT GROUP ANNUAL FINANCIAL STATEMENTS,356,HEADING_WITH_BODY,contents_or_index_like,EXCLUDE,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,"REPORT INTEGRATED REPORT GROUP ANNUAL FINANCIAL STATEMENTS  Content • An overview of the Group’s business model, stakeholder engagement, material matters and strategy • Performance and prospects • Operational reviews • A corporate governanc"
category:contents_or_index_like,SUR,e963ada9-264f-493c-8877-ced57861c1da,2023,bad20932-9285-4380-8ea1-c016d19fba97,1824,GRI 302 ESRS E1-5 SASB 130,51,HEADING_WITH_BODY,contents_or_index_like,EXCLUDE,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,GRI 302 ESRS E1-5 SASB 130  The group has re-established its carbon footprint baseline. The results will inform the group’s climate strategy and mitigation plan. The focus will be on tapping into independent power producers who focus on ren
category:legitimate_short_abbreviation,SUR,e5036fd8-c4ab-4c24-a570-300a47c14646,2024,0a30ef7a-4c8a-46a9-a3f5-b779bca8f63f,323,FX,230,HEADING_WITH_BODY,legitimate_short_abbreviation,RETAIN,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,"FX  Our purpose is to lead with unwavering integrity, fostering inclusivity and empowerment across all communities. We commit to creating opportunities that ensure everyone has a place at the table, driving positive change and nurturing a w"
category:legitimate_short_abbreviation,SUR,e5036fd8-c4ab-4c24-a570-300a47c14646,2024,6aef05ce-8e91-4270-847d-fffd4df10070,1839,CA,55,HEADING_WITH_BODY,legitimate_short_abbreviation,RETAIN,LIGHTLY_MODIFIED,NEEDS_REVIEW,"CA  André spent most of his career with the SAB/ SAB Miller group and was managing director of SAB Miller’s Africa and Asia portfolio for ten years. He previously served as chairman of Tiger Brands and Remgro’s TSB, and on the boards of SAB"
category:legitimate_short_abbreviation,SUR,c8ead76a-0251-4736-b4b1-3d7e092a4fce,2025,2e3f3828-50c1-49ad-9c0a-ea835e214afa,150,FC,21,HEADING_WITH_BODY,legitimate_short_abbreviation,RETAIN,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,FC  The investment of financial capital requires a careful balance between short-term financial preservation and the long-term development of the group.
category:list_content,ACT,34ada83c-783b-46dd-811f-b6a3cfecb8ac,2021,b806369b-56f6-4175-a72d-e4fc76e6338a,994,Impact,3,HEADING_WITH_BODY,list_content,,NEW,HIGH,Impact  3. 1.
category:list_content,BEL,30230fbf-6933-4049-a5bd-ca6927a76349,2020,522c85d2-dc1b-447e-9419-6f073c803962,72,REGULATORY RISK,201,HEADING_WITH_BODY,list_content,,LIGHTLY_MODIFIED,NEEDS_REVIEW,REGULATORY RISK  It is recognised that there is an increased probability of risk of regulatory non compliance to laws and rules due to the geographic spread of the operations and therefore the size of the regulatory environment as well as t
category:list_content,KP2,8ac44907-16b3-41be-b0aa-a2047f51d366,2024,d9faf2a0-0227-4386-9efb-ff8b72872694,30,,723,LIST,list_content,,REMOVED,HIGH,"• On 24 January 2023, the Company announced an update of the JORC (2012) compliant Mineral Resource, Ore Reserve, PFS information and Production Target at the DX Project. The updated Mineral Resource incorporates the most recent drilling re"
category:numeric_or_table_like_source,ACT,df83cc42-dc79-40f7-802e-bd6cf9cc0e57,2022,7c1dd865-ef1f-4be7-8636-70aff52b3315,2,REPORT,5,HEADING_WITH_BODY,numeric_or_table_like_source,EXCLUDE,AMBIGUOUS,NEEDS_REVIEW,REPORT  (2021: 3.8 million lives)
category:numeric_or_table_like_source,KP2,9b42f11c-afea-49d9-8540-953b610f767e,2020,d86d241f-9ac5-4274-b142-a0f7a3789ecf,413,USD,262,HEADING_WITH_BODY,numeric_or_table_like_source,EXCLUDE,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,"USD  USD 1,541,253,564 Fully Paid Ordinary Shares at par value of USD 0.001 each (31 December 2018: 860,852,693 Fully Paid Ordinary Shares at par value of USD 0.001) 1,541,253) 860,852) 1,541,253) 860,852) Fully Paid Ordinary Shares 1,541,2"
category:numeric_or_table_like_source,SUR,e5036fd8-c4ab-4c24-a570-300a47c14646,2024,50ecd761-20fd-4928-845d-04f7b53f1613,1229,in November 2023 4.44%,7,HEADING_WITH_BODY,numeric_or_table_like_source,EXCLUDE,LIGHTLY_MODIFIED,NEEDS_REVIEW,in November 2023 4.44%  in May 2024
category:ordinary_prose_false_positive,ACT,df83cc42-dc79-40f7-802e-bd6cf9cc0e57,2022,495564b5-86a2-4c2a-b846-5efc454204fd,201,Capitals impacted,64,HEADING_WITH_BODY,ordinary_prose_false_positive,RETAIN,LIGHTLY_MODIFIED,NEEDS_REVIEW,Capitals impacted  10% employee turnover (2021: 11.3%) 4 83% of the workforce are black (2021: 82%) 4 71% of the workforce are women (2021: 70%) 4 58% of the workforce are black women (2021: 57%) 4 31% black representation at senior managem
category:ordinary_prose_false_positive,BEL,5e143d2c-c26b-4d8f-bdd2-8c77fa9621fb,2018,b64f1a1b-2226-4e10-88c9-3dd0d58b0d17,25,,212,TABLE_CONTEXT,ordinary_prose_false_positive,RETAIN,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,In southern Africa Bell adds Kobelco  excavators to its range and enters  the tipper truck market with Kamaz trucks. Expansion of  ELC and German  and Central European sales and distribution  departments  completed.  Large E-series ADT  rel
category:ordinary_prose_false_positive,KP2,9b42f11c-afea-49d9-8540-953b610f767e,2020,09330c4a-cb97-4071-b8d5-3f074025dbdb,525,,505,PARAGRAPH,ordinary_prose_false_positive,RETAIN,REMOVED,HIGH,"Grant Date Rights Series 4 (1) 17/09/2015 1 Dec 2016 2,666,090 16/09/2018 AUD 0.1451 Rights Series 5 (2) 17/09/2015 Refer below 2,666,090 16/09/2018 AUD 0.1507 Rights Series 6 (3) 17/09/2015 Refer below 2,666,090 16/09/2018 AUD 0.1510 Right"
category:short_fragment_invalid,ACT,b52a299a-4102-4e6c-bf39-cfe728ca20e3,2019,9682f2b0-f5f1-4517-9e92-98d14199d03b,113,st,1,HEADING_WITH_BODY,short_fragment_invalid,EXCLUDE,UNCHANGED,HIGH,st
category:short_fragment_invalid,ACT,b52a299a-4102-4e6c-bf39-cfe728ca20e3,2019,35cbaff4-63f7-4374-b8c8-2210d0b36d49,291,Co,1,HEADING_WITH_BODY,short_fragment_invalid,EXCLUDE,REMOVED,HIGH,Co
category:short_fragment_invalid,SUR,c8ead76a-0251-4736-b4b1-3d7e092a4fce,2025,2ce1dd41-5fb3-49db-8c9c-0e7699b0ddaa,2048,CA,1,HEADING_WITH_BODY,short_fragment_invalid,REVIEW,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,CA
category:table_context,BEL,224ac57d-bedf-4268-a773-9184fb8605d9,2019,662e64b5-0a55-4c23-8f29-886fa7e38202,448,,81,TABLE_CONTEXT,table_context,,REMOVED,HIGH,A full list of partners and directors is available on request *Partner and Registered Auditor  B-BBEE rating: Level 1 contribution in terms of the DTI Generic Scorecard as per the amended Codes of Good Practice  Associate of Deloitte Africa
category:table_context,BEL,1276e697-8e26-4a65-9eb4-f11619aaef07,2021,29b82b80-72d1-43d5-97bd-aaf8b7ab2de2,658,,102,TABLE_CONTEXT,table_context,,NEW,HIGH,"The group’s credit risk exposure to WesBank has been disclosed below:  At year-end the group’s credit risk exposure to WesBank under Bell-backed deals, for which the group carries all the credit risk, totalled 112 739 165 612  In the event "
category:table_context,BEL,6e756e03-f4f6-4223-a495-88b691b06da6,2022,04520753-bf34-4a4a-8e60-c9ac5cf727df,566,,131,TABLE_CONTEXT,table_context,,AMBIGUOUS,NEEDS_REVIEW,2018 BECSA Spend: R270 000 Additional specialised classrooms to accommodate increased number of learners  2017 BECSA Spend: R291 153 Overhaul of four bathrooms  2021 BESSA Spend: R304 950 Learner support function costs (school governing bod
two_char:body_bearing,SUR,e963ada9-264f-493c-8877-ced57861c1da,2023,a436420d-929a-42cd-9a25-bef45c07fdf2,949,TI,36,HEADING_WITH_BODY,caption_or_label_like,REVIEW,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,TI  Grow core categories  Product quality and compliance  Franchisee participation  ESG strategy  Technology innovation  Young/ new families  More youth  Loyalty/ family club  Customer added value  Reward partnerships  Franchisee transforma
two_char:body_bearing,SUR,e5036fd8-c4ab-4c24-a570-300a47c14646,2024,0a30ef7a-4c8a-46a9-a3f5-b779bca8f63f,323,FX,230,HEADING_WITH_BODY,legitimate_short_abbreviation,RETAIN,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,"FX  Our purpose is to lead with unwavering integrity, fostering inclusivity and empowerment across all communities. We commit to creating opportunities that ensure everyone has a place at the table, driving positive change and nurturing a w"
two_char:body_bearing,SUR,e5036fd8-c4ab-4c24-a570-300a47c14646,2024,15fbe698-33df-40f8-8e66-4a9f6d22016c,1041,is,2,HEADING_WITH_BODY,broken_fragment_sequence,EXCLUDE,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,is  ri
two_char:word_count_1,ACT,b52a299a-4102-4e6c-bf39-cfe728ca20e3,2019,9682f2b0-f5f1-4517-9e92-98d14199d03b,113,st,1,HEADING_WITH_BODY,short_fragment_invalid,EXCLUDE,UNCHANGED,HIGH,st
two_char:word_count_1,ACT,b52a299a-4102-4e6c-bf39-cfe728ca20e3,2019,35cbaff4-63f7-4374-b8c8-2210d0b36d49,291,Co,1,HEADING_WITH_BODY,short_fragment_invalid,EXCLUDE,REMOVED,HIGH,Co
two_char:word_count_1,SUR,c8ead76a-0251-4736-b4b1-3d7e092a4fce,2025,2ce1dd41-5fb3-49db-8c9c-0e7699b0ddaa,2048,CA,1,HEADING_WITH_BODY,short_fragment_invalid,REVIEW,SUBSTANTIALLY_MODIFIED,NEEDS_REVIEW,CA
