category,ticker,report_pair_id,gap_months,is_transition,earlier_passage_id,later_passage_id,earlier_page_range,later_page_range,alignment_status,alignment_type,confidence,semantic_similarity,lexical_cosine_similarity,jaccard_similarity,edit_similarity,heading_similarity,length_ratio,combined_score,review_reason,earlier_text,later_text
high_semantic_low_lexical,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,ec551ae5-b89c-4336-b992-6f11a156e00c,fedfe561-3f59-4b33-9efc-ecd7dd17a9f7,87,121,LIGHTLY_MODIFIED,ONE_TO_ONE,NEEDS_REVIEW,0.9709838032722473,0.4999999999999999,0.0,0.5,0.4999999999999999,1.0,0.7225648029232578,high semantic / low lexical: likely paraphrase or rewrite with similar meaning,,
high_semantic_low_lexical,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,96,False,2af832bf-f675-426a-a810-6c795dbbbb2f,0efc4b55-9428-49dc-8eeb-1739a0514ac1,90,117-118,LIGHTLY_MODIFIED,ONE_TO_ONE,NEEDS_REVIEW,0.9158494472503662,0.4769704635809026,0.03460207612456748,0.08720930232558144,1.0,0.9885057471264368,0.71602014944467,high semantic / low lexical: likely paraphrase or rewrite with similar meaning; irregular reporting gap (96 months),,
new,KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,12,False,,73a88bdd-35e3-4466-ad0e-3054e1823256,,109,NEW,UNMATCHED_LATER,HIGH,,,,,,,,,,
new,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,,5949d923-6e3f-4286-a78c-554c787d7bf8,,32,NEW,UNMATCHED_LATER,HIGH,,,,,,,,,,
new,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,96,False,,1fe4f746-719b-4f41-8f70-067aadd5acd6,,148,NEW,UNMATCHED_LATER,MEDIUM,,,,,,,,irregular reporting gap (96 months),,
removed,KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,12,False,49033116-fa0a-4dc7-afa3-663ee8fd29ba,,85,,REMOVED,UNMATCHED_EARLIER,HIGH,,,,,,,,,,
removed,KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,24,False,eb5746ff-ebac-4b61-990f-ecf720431335,,19,,REMOVED,UNMATCHED_EARLIER,MEDIUM,,,,,,,,irregular reporting gap (24 months),,
removed,KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,24,False,744fd3d2-b09d-4334-ba77-be73c580f3ad,,31,,REMOVED,UNMATCHED_EARLIER,MEDIUM,,,,,,,,irregular reporting gap (24 months),,
ambiguous,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,24e5b078-28cb-4910-a31b-5e6ebe41b632,,59,,AMBIGUOUS,UNMATCHED_EARLIER,NEEDS_REVIEW,,,,,,,,likely merge: also proposed as a match for the later passage already matched to adjacent earlier passage_index 833,,
ambiguous,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,96,False,c68bb124-ec6a-43b8-b4c8-cb921afe91fe,,11,,AMBIGUOUS,UNMATCHED_EARLIER,NEEDS_REVIEW,,,,,,,,likely merge: also proposed as a match for the later passage already matched to adjacent earlier passage_index 22; irregular reporting gap (96 months),,
ambiguous,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,b2e5b892-2921-467a-926e-5f93684cdf73,,44,,AMBIGUOUS,UNMATCHED_EARLIER,NEEDS_REVIEW,,,,,,,,likely merge: also proposed as a match for the later passage already matched to adjacent earlier passage_index 608,,
likely_split_merge,KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,12,False,9feef511-5861-4036-ab1f-aba83598026d,,112,,AMBIGUOUS,UNMATCHED_EARLIER,NEEDS_REVIEW,,,,,,,,likely merge: also proposed as a match for the later passage already matched to adjacent earlier passage_index 492,,
likely_split_merge,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,,b54e2704-8cb9-4ed6-88b0-7965c07a6663,,202,AMBIGUOUS,UNMATCHED_LATER,NEEDS_REVIEW,,,,,,,,likely split: also matches the earlier passage shared with adjacent later passage_index 2382,,
likely_split_merge,KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,12,False,,71249af4-76ea-4b56-bceb-fcf895dc6a8d,,36,AMBIGUOUS,UNMATCHED_LATER,NEEDS_REVIEW,,,,,,,,likely split: also matches the earlier passage shared with adjacent later passage_index 125,,
repeated_boilerplate,KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,12,False,8365223c-9e66-4541-8ade-1679fc50b90f,808177b1-71c0-4ff8-ad3d-bd31bf1761c7,82,82,UNCHANGED,ONE_TO_ONE,LOW,1.0,1.0,,1.0,1.0,1.0,0.9989457643757739,,,
repeated_boilerplate,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,7c7fd7ab-10a8-47f9-82fd-d9b30b937e80,4028c9d3-039a-4d41-8f14-48c03d59abec,28,94,UNCHANGED,ONE_TO_ONE,HIGH,0.9999999403953606,1.0,1.0,1.0,1.0,1.0,0.9594696832501518,,,
repeated_boilerplate,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,12,False,22f490d7-c246-4a6e-9181-e3283099269d,c8f53293-74d2-4540-95fd-5c97c54407f1,83,89,UNCHANGED,ONE_TO_ONE,LOW,1.0,1.0,,1.0,1.0,1.0,0.9983150574752239,,,
irregular_gap_pair,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,96,False,,9b7c1973-0507-4989-98a1-ab9d3f9dd34e,,67,NEW,UNMATCHED_LATER,MEDIUM,,,,,,,,irregular reporting gap (96 months),,
irregular_gap_pair,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,96,False,ac9f1108-7681-4126-9701-04580203aec8,,113,,REMOVED,UNMATCHED_EARLIER,MEDIUM,,,,,,,,irregular reporting gap (96 months),,
irregular_gap_pair,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,96,False,,189801e2-5d36-4479-8a1c-9508573d6c04,,149,NEW,UNMATCHED_LATER,MEDIUM,,,,,,,,irregular reporting gap (96 months),,
