case_id,case_type,expected,actual,candidate_presence,required_evidence_rank,selected_flag,primary_stage,secondary_notes,ground_truth_review_flag
sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,RETRIEVAL_MISS,1 alternate sufficient set(s) -- reasonCodes=NO_DIRECT_EVIDENCE,false
sup-sur-financial-target-setting,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,44,false,RERANKING_MISS,1 alternate sufficient set(s) -- reasonCodes=LOW_RELEVANCE_MARGIN,false
sup-sur-risk-stakeholder-governance,answerable_by_one_passage,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,1,true,GATE_MISCLASSIFICATION,1 alternate sufficient set(s) -- reasonCodes=CONFLICTING_EVIDENCE,false
sup-sur-strategy-loadshedding,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,1,true,GATE_MISCLASSIFICATION,1 alternate sufficient set(s) -- reasonCodes=LOW_RELEVANCE_MARGIN,false
sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,SUPPORTED,INSUFFICIENT_EVIDENCE,true,8,false,EVIDENCE_SELECTION_MISS,1 alternate sufficient set(s) -- reasonCodes=REQUIRED_SCOPE_NOT_COVERED|MISSING_COMPARISON_SIDE,false
sup-earlier-side-act-labour,answerable_only_from_earlier_side,SUPPORTED,SUPPORTED,true,2,false,EVIDENCE_SELECTION_MISS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-later-side-kp2-hse,answerable_only_from_later_side,SUPPORTED,SUPPORTED,true,53,false,RERANKING_MISS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-new-sdl-directors-report,answerable_from_new_disclosure,SUPPORTED,INSUFFICIENT_EVIDENCE,true,100,true,RERANKING_MISS,1 alternate sufficient set(s) -- reasonCodes=ONLY_WEAK_INDIRECT_EVIDENCE,false
sup-removed-act-leadership-bio,answerable_from_removed_disclosure,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,2,true,GATE_MISCLASSIFICATION,2 alternate sufficient set(s) -- reasonCodes=CONFLICTING_EVIDENCE,false
sup-modified-bel-agm-notice,answerable_from_modified_disclosure,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,15,false,RERANKING_MISS,1 alternate sufficient set(s) -- reasonCodes=CONFLICTING_EVIDENCE,false
sup-period-kp2-2024,answerable_only_within_one_report_period,SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,RETRIEVAL_MISS,1 alternate sufficient set(s) -- reasonCodes=NO_DIRECT_EVIDENCE,false
partial-sbp-remuneration-and-succession,partially_answerable,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,true,1,true,PIPELINE_SUCCESS,"1 alternate sufficient set(s) -- reasonCodes=INSUFFICIENT_TOPIC_COVERAGE -- Dataset's own notes admit succession-planning content was never verified present or absent in the corpus (""no succession-planning passage was found ... in this inspection"") -- the expected PARTIALLY_SUPPORTED assumes an unsupported second element without confirming the corpus doesn't answer it, which the pipeline cannot distinguish from a true miss.",true
partial-bel-repurchase-and-buyback-pricing,partially_answerable,PARTIALLY_SUPPORTED,SUPPORTED,false,,false,GROUND_TRUTH_AMBIGUITY,"1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES -- Same pattern: notes say the price-ceiling sub-topic ""were not separately verified"" rather than confirmed absent -- expected set may be incomplete, not a pipeline defect.",true
partial-kp2-materiality-and-fraud-risk,partially_answerable,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,true,8,true,PIPELINE_SUCCESS,"1 alternate sufficient set(s) -- reasonCodes=LOW_RELEVANCE_MARGIN -- Notes: fraud-risk indicators ""not verified as separately disclosed"" -- ground truth doesn't establish the second element is genuinely unanswerable from this corpus.",true
partial-act-diversity-and-gender-pay-gap,partially_answerable,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,false,,false,RETRIEVAL_MISS,1 alternate sufficient set(s) -- reasonCodes=LOW_RELEVANCE_MARGIN,false
ambiguous-sbp-restatement,conflicting_or_apparently_inconsistent,AMBIGUOUS_OR_CONFLICTING,INSUFFICIENT_EVIDENCE,false,,false,GATE_MISCLASSIFICATION,no-answer-expected case -- reasonCodes=NO_DIRECT_EVIDENCE,false
ambiguous-sdl-directors-report-new-removed,conflicting_or_apparently_inconsistent,AMBIGUOUS_OR_CONFLICTING,AMBIGUOUS_OR_CONFLICTING,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=CONFLICTING_EVIDENCE,false
ambiguous-sbp-listed-investment-performance,ambiguous,AMBIGUOUS_OR_CONFLICTING,PARTIALLY_SUPPORTED,false,,false,GATE_MISCLASSIFICATION,no-answer-expected case -- reasonCodes=LOW_RELEVANCE_MARGIN,false
ambiguous-sbp-non-executive-directors,ambiguous,AMBIGUOUS_OR_CONFLICTING,SUPPORTED,false,,false,GATE_MISCLASSIFICATION,no-answer-expected case -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
ambiguous-sbp-valuation-summary,conflicting_or_apparently_inconsistent,AMBIGUOUS_OR_CONFLICTING,INSUFFICIENT_EVIDENCE,false,,false,GATE_MISCLASSIFICATION,no-answer-expected case -- reasonCodes=NO_DIRECT_EVIDENCE,false
noanswer-airline-loyalty,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=GENERIC_ONLY_MATCH,false
noanswer-esports,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=GENERIC_ONLY_MATCH,false
noanswer-agriculture-subsidy,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=GENERIC_ONLY_MATCH,false
noanswer-deep-sea-mining,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=GENERIC_ONLY_MATCH,false
noanswer-social-media-influencer,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=ONLY_WEAK_INDIRECT_EVIDENCE,false
noanswer-patent-litigation,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=ONLY_WEAK_INDIRECT_EVIDENCE,false
noanswer-nonexistent-company,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=SCOPE_ONLY_MATCH,false
noanswer-unsupported-acquisition,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=ONLY_WEAK_INDIRECT_EVIDENCE,false
noanswer-nonexistent-regulatory-event,no_answer_in_corpus,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=GENERIC_ONLY_MATCH,false
noanswer-unsupported-numeric-claim,unsupported_exact_numeric_claim,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=GENERIC_ONLY_MATCH,false
numeric-trap-act-operating-margin,numerical_table_fragment_without_explanatory_prose,INSUFFICIENT_EVIDENCE,SUPPORTED,false,,false,GATE_MISCLASSIFICATION,no-answer-expected case -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
numeric-trap-sbp-investments-per-category,numerical_table_fragment_without_explanatory_prose,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=NO_DIRECT_EVIDENCE,false
numeric-trap-short-heading-operations,short_heading_trap,PARTIALLY_SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,RETRIEVAL_MISS,1 alternate sufficient set(s) -- reasonCodes=ONLY_WEAK_INDIRECT_EVIDENCE,false
short-heading-trap-usd-currency,short_heading_trap,PARTIALLY_SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,RETRIEVAL_MISS,1 alternate sufficient set(s) -- reasonCodes=NO_DIRECT_EVIDENCE,false
short-heading-trap-back-navigation,short_heading_trap,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=NO_DIRECT_EVIDENCE,false
broad-corpus-governance-practices,broad_corpus_wide,SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,RETRIEVAL_MISS,3 alternate sufficient set(s) -- reasonCodes=ONLY_WEAK_INDIRECT_EVIDENCE,false
multi-company-remuneration-comparison,multi_company,SUPPORTED,INSUFFICIENT_EVIDENCE,false,1,false,RETRIEVAL_MISS,1 alternate sufficient set(s) -- reasonCodes=GENERIC_ONLY_MATCH,false
weak-indirect-sbp-industrial-diversification,weak_indirect_evidence,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=NO_DIRECT_EVIDENCE,false
related-terminology-no-support-kp2-community,related_terminology_no_direct_support,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,false,,false,PIPELINE_SUCCESS,no-answer-expected case -- reasonCodes=NO_DIRECT_EVIDENCE,false
quality-aware-act-remuneration-short,requires_quality_aware_interpretation,SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,RETRIEVAL_MISS,1 alternate sufficient set(s) -- reasonCodes=NO_DIRECT_EVIDENCE,false
direction-lexical-act-growth-increase,requires_comparison_direction,SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,RETRIEVAL_MISS,2 alternate sufficient set(s) -- reasonCodes=NO_DIRECT_EVIDENCE,false
direction-lexical-bel-repurchase-removed,requires_comparison_direction,SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,RETRIEVAL_MISS,1 alternate sufficient set(s) -- reasonCodes=NO_DIRECT_EVIDENCE,false
chronology-kp2-hse-governance-timeline,requires_chronology,SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,RETRIEVAL_MISS,1 alternate sufficient set(s) -- reasonCodes=ONLY_WEAK_INDIRECT_EVIDENCE,false
sup-sbp-financial-incentives,answerable_by_one_passage,SUPPORTED,INSUFFICIENT_EVIDENCE,true,10,false,EVIDENCE_SELECTION_MISS,2 alternate sufficient set(s) -- reasonCodes=NO_DIRECT_EVIDENCE,false
sup-sbp-governance-special-incentives,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,1,true,PIPELINE_SUCCESS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-sbp-shareholder-inclusive-approach,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,3,false,EVIDENCE_SELECTION_MISS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-sdl-financial-environmental-stewardship,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,1,true,PIPELINE_SUCCESS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-sdl-financial-directors-report-governance,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,1,true,PIPELINE_SUCCESS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-sdl-governance-new-director-bio,answerable_from_new_disclosure,SUPPORTED,SUPPORTED,true,1,true,PIPELINE_SUCCESS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-sdl-governance-no-significant-changes,answerable_by_one_passage,SUPPORTED,PARTIALLY_SUPPORTED,true,1,true,GATE_MISCLASSIFICATION,1 alternate sufficient set(s) -- reasonCodes=LOW_RELEVANCE_MARGIN,false
sup-sdl-risk-currency-sensitivity,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,1,true,PIPELINE_SUCCESS,2 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-sdl-strategy-share-based-payments,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,3,true,PIPELINE_SUCCESS,2 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-sur-financial-remuneration-weightings,answerable_by_one_passage,SUPPORTED,INSUFFICIENT_EVIDENCE,true,6,false,EVIDENCE_SELECTION_MISS,2 alternate sufficient set(s) -- reasonCodes=NO_DIRECT_EVIDENCE,false
sup-sur-governance-malus-clawback,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,1,true,PIPELINE_SUCCESS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
sup-sur-risk-board-activities-2023,answerable_only_within_one_report_period,SUPPORTED,INSUFFICIENT_EVIDENCE,true,2,false,EVIDENCE_SELECTION_MISS,1 alternate sufficient set(s) -- reasonCodes=NO_DIRECT_EVIDENCE,false
sup-sur-risk-governing-body-inseparable-elements,answerable_by_one_passage,SUPPORTED,SUPPORTED,true,5,true,PIPELINE_SUCCESS,1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
partial-sur-target-setting-and-exact-budget,partially_answerable,PARTIALLY_SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,RETRIEVAL_MISS,1 alternate sufficient set(s) -- reasonCodes=REQUIRED_CONCEPT_MISSING,false
partial-kp2-liability-classification-and-fair-value-hierarchy,partially_answerable,PARTIALLY_SUPPORTED,SUPPORTED,true,29,false,GROUND_TRUTH_AMBIGUITY,"1 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES -- Notes: IFRS 13 hierarchy level ""not separately verified as disclosed"" -- same unverified-absence pattern.",true
repeated-passage-kp2-materiality-audit,repeated_passage_across_comparisons,SUPPORTED,SUPPORTED,true,3,true,PIPELINE_SUCCESS,2 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
repeated-passage-kp2-transitions-both-modification,repeated_passage_across_comparisons,PARTIALLY_SUPPORTED,INSUFFICIENT_EVIDENCE,false,,false,GROUND_TRUTH_AMBIGUITY,"1 alternate sufficient set(s) -- reasonCodes=NO_DIRECT_EVIDENCE -- Expected PARTIALLY_SUPPORTED is built on a single passage the notes call ""relevant to the audit context but does not itself discuss company-registration changes"" -- the question asks specifically about registration changes, which this passage doesn't address at all; the expected minimum-sufficient-evidence-set may simply be wrong/absent rather than partially answerable.",true
repeated-passage-kp2-financial-liabilities,repeated_passage_across_comparisons,SUPPORTED,SUPPORTED,true,10,true,PIPELINE_SUCCESS,3 alternate sufficient set(s) -- reasonCodes=SUPPORTED_BY_MULTIPLE_PASSAGES,false
