case_id,case_type,reranker,evidence_set_size,expected,actual,recovered,precision_at_3,precision_at_5,recall_at_5,selected_a_trap,citation_complete,redundancy_ratio
sup-act-governance-board-meetings,answerable_by_one_passage,baseline,8,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,false,0.0000,0.0000,0.0000,false,true,0.9063
sup-act-governance-board-meetings,answerable_by_one_passage,concept_coverage,3,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.6250
sup-act-governance-board-meetings,answerable_by_one_passage,concept_coverage,5,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.8500
sup-act-governance-board-meetings,answerable_by_one_passage,concept_coverage,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.8750
sup-act-governance-board-meetings,answerable_by_one_passage,quality_aware,3,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.6250
sup-act-governance-board-meetings,answerable_by_one_passage,quality_aware,5,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.8500
sup-act-governance-board-meetings,answerable_by_one_passage,quality_aware,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.8750
sup-act-risk-labour-standards,answerable_by_one_passage,baseline,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.2500
sup-act-risk-labour-standards,answerable_by_one_passage,baseline,5,SUPPORTED,SUPPORTED,true,0.0000,0.2000,1.0000,false,true,0.2857
sup-act-risk-labour-standards,answerable_by_one_passage,baseline,8,SUPPORTED,SUPPORTED,true,0.0000,0.2000,1.0000,false,true,0.4444
sup-act-risk-labour-standards,answerable_by_one_passage,concept_coverage,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.5000
sup-act-risk-labour-standards,answerable_by_one_passage,concept_coverage,5,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.6667
sup-act-risk-labour-standards,answerable_by_one_passage,concept_coverage,8,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.6667
sup-act-risk-labour-standards,answerable_by_one_passage,quality_aware,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.5000
sup-act-risk-labour-standards,answerable_by_one_passage,quality_aware,5,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.6667
sup-act-risk-labour-standards,answerable_by_one_passage,quality_aware,8,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.6667
sup-bel-financial-repurchase,answerable_by_one_passage,baseline,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-bel-financial-repurchase,answerable_by_one_passage,baseline,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-bel-financial-repurchase,answerable_by_one_passage,baseline,8,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-bel-financial-repurchase,answerable_by_one_passage,concept_coverage,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-bel-financial-repurchase,answerable_by_one_passage,concept_coverage,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-bel-financial-repurchase,answerable_by_one_passage,concept_coverage,8,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-bel-financial-repurchase,answerable_by_one_passage,quality_aware,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-bel-financial-repurchase,answerable_by_one_passage,quality_aware,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-bel-financial-repurchase,answerable_by_one_passage,quality_aware,8,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-bel-governance-board-charter,answerable_by_one_passage,baseline,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-bel-governance-board-charter,answerable_by_one_passage,baseline,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-bel-governance-board-charter,answerable_by_one_passage,baseline,8,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.6154
sup-bel-governance-board-charter,answerable_by_one_passage,concept_coverage,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-bel-governance-board-charter,answerable_by_one_passage,concept_coverage,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.6923
sup-bel-governance-board-charter,answerable_by_one_passage,concept_coverage,8,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.6923
sup-bel-governance-board-charter,answerable_by_one_passage,quality_aware,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-bel-governance-board-charter,answerable_by_one_passage,quality_aware,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.6923
sup-bel-governance-board-charter,answerable_by_one_passage,quality_aware,8,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.6923
sup-bel-risk-credit-guarantee,answerable_by_one_passage,baseline,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-bel-risk-credit-guarantee,answerable_by_one_passage,baseline,5,SUPPORTED,SUPPORTED,true,0.3333,0.2000,1.0000,false,true,0.5000
sup-bel-risk-credit-guarantee,answerable_by_one_passage,baseline,8,SUPPORTED,SUPPORTED,true,0.3333,0.2000,1.0000,false,true,0.6667
sup-bel-risk-credit-guarantee,answerable_by_one_passage,concept_coverage,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.2500
sup-bel-risk-credit-guarantee,answerable_by_one_passage,concept_coverage,5,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7333
sup-bel-risk-credit-guarantee,answerable_by_one_passage,concept_coverage,8,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7333
sup-bel-risk-credit-guarantee,answerable_by_one_passage,quality_aware,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.2500
sup-bel-risk-credit-guarantee,answerable_by_one_passage,quality_aware,5,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7333
sup-bel-risk-credit-guarantee,answerable_by_one_passage,quality_aware,8,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7333
sup-kp2-governance-hse-committee,answerable_by_one_passage,baseline,3,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-kp2-governance-hse-committee,answerable_by_one_passage,baseline,5,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-kp2-governance-hse-committee,answerable_by_one_passage,baseline,8,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-kp2-governance-hse-committee,answerable_by_one_passage,concept_coverage,3,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-kp2-governance-hse-committee,answerable_by_one_passage,concept_coverage,5,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-kp2-governance-hse-committee,answerable_by_one_passage,concept_coverage,8,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-kp2-governance-hse-committee,answerable_by_one_passage,quality_aware,3,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-kp2-governance-hse-committee,answerable_by_one_passage,quality_aware,5,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-kp2-governance-hse-committee,answerable_by_one_passage,quality_aware,8,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-kp2-financial-loss,answerable_by_one_passage,baseline,3,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.4000
sup-kp2-financial-loss,answerable_by_one_passage,baseline,5,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.7895
sup-kp2-financial-loss,answerable_by_one_passage,baseline,8,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.7895
sup-kp2-financial-loss,answerable_by_one_passage,concept_coverage,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-kp2-financial-loss,answerable_by_one_passage,concept_coverage,5,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7895
sup-kp2-financial-loss,answerable_by_one_passage,concept_coverage,8,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7895
sup-kp2-financial-loss,answerable_by_one_passage,quality_aware,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-kp2-financial-loss,answerable_by_one_passage,quality_aware,5,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7895
sup-kp2-financial-loss,answerable_by_one_passage,quality_aware,8,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7895
sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,baseline,3,SUPPORTED,SUPPORTED,true,1.0000,1.0000,0.5000,false,true,0.0000
sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,baseline,5,SUPPORTED,SUPPORTED,true,1.0000,1.0000,0.5000,false,true,0.0000
sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,baseline,8,SUPPORTED,SUPPORTED,true,1.0000,1.0000,0.5000,false,true,0.0000
sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,concept_coverage,3,SUPPORTED,SUPPORTED,true,1.0000,1.0000,0.5000,false,true,0.0000
sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,concept_coverage,5,SUPPORTED,SUPPORTED,true,1.0000,1.0000,0.5000,false,true,0.0000
sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,concept_coverage,8,SUPPORTED,SUPPORTED,true,1.0000,1.0000,0.5000,false,true,0.0000
sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,quality_aware,3,SUPPORTED,SUPPORTED,true,1.0000,1.0000,0.5000,false,true,0.0000
sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,quality_aware,5,SUPPORTED,SUPPORTED,true,1.0000,1.0000,0.5000,false,true,0.0000
sup-kp2-strategy-disclosure-obligations,answerable_by_one_passage,quality_aware,8,SUPPORTED,SUPPORTED,true,1.0000,1.0000,0.5000,false,true,0.0000
sup-sbp-governance-remuneration-policy,answerable_by_one_passage,baseline,3,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.2500
sup-sbp-governance-remuneration-policy,answerable_by_one_passage,baseline,5,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.5000
sup-sbp-governance-remuneration-policy,answerable_by_one_passage,baseline,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.5000
sup-sbp-governance-remuneration-policy,answerable_by_one_passage,concept_coverage,3,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-sbp-governance-remuneration-policy,answerable_by_one_passage,concept_coverage,5,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.5000
sup-sbp-governance-remuneration-policy,answerable_by_one_passage,concept_coverage,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.5000
sup-sbp-governance-remuneration-policy,answerable_by_one_passage,quality_aware,3,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-sbp-governance-remuneration-policy,answerable_by_one_passage,quality_aware,5,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.5000
sup-sbp-governance-remuneration-policy,answerable_by_one_passage,quality_aware,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.5000
sup-sbp-strategy-investment-proposition,answerable_by_one_passage,baseline,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-sbp-strategy-investment-proposition,answerable_by_one_passage,baseline,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.9000
sup-sbp-strategy-investment-proposition,answerable_by_one_passage,baseline,8,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.9375
sup-sbp-strategy-investment-proposition,answerable_by_one_passage,concept_coverage,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sbp-strategy-investment-proposition,answerable_by_one_passage,concept_coverage,5,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.8500
sup-sbp-strategy-investment-proposition,answerable_by_one_passage,concept_coverage,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.9063
sup-sbp-strategy-investment-proposition,answerable_by_one_passage,quality_aware,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sbp-strategy-investment-proposition,answerable_by_one_passage,quality_aware,5,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.8500
sup-sbp-strategy-investment-proposition,answerable_by_one_passage,quality_aware,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.9063
sup-sdl-financial-fair-value,answerable_by_one_passage,baseline,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sdl-financial-fair-value,answerable_by_one_passage,baseline,5,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.8000
sup-sdl-financial-fair-value,answerable_by_one_passage,baseline,8,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.8462
sup-sdl-financial-fair-value,answerable_by_one_passage,concept_coverage,3,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sdl-financial-fair-value,answerable_by_one_passage,concept_coverage,5,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2000,1.0000,false,true,0.6875
sup-sdl-financial-fair-value,answerable_by_one_passage,concept_coverage,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2000,1.0000,false,true,0.8077
sup-sdl-financial-fair-value,answerable_by_one_passage,quality_aware,3,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sdl-financial-fair-value,answerable_by_one_passage,quality_aware,5,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2000,1.0000,false,true,0.6875
sup-sdl-financial-fair-value,answerable_by_one_passage,quality_aware,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.2000,1.0000,false,true,0.8077
sup-sdl-governance-key-management,answerable_by_one_passage,baseline,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sdl-governance-key-management,answerable_by_one_passage,baseline,5,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7647
sup-sdl-governance-key-management,answerable_by_one_passage,baseline,8,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7647
sup-sdl-governance-key-management,answerable_by_one_passage,concept_coverage,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sdl-governance-key-management,answerable_by_one_passage,concept_coverage,5,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7647
sup-sdl-governance-key-management,answerable_by_one_passage,concept_coverage,8,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7647
sup-sdl-governance-key-management,answerable_by_one_passage,quality_aware,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sdl-governance-key-management,answerable_by_one_passage,quality_aware,5,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7647
sup-sdl-governance-key-management,answerable_by_one_passage,quality_aware,8,SUPPORTED,SUPPORTED,true,0.3333,0.2500,1.0000,false,true,0.7647
sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,baseline,3,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,baseline,5,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,baseline,8,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,concept_coverage,3,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,concept_coverage,5,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,concept_coverage,8,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,quality_aware,3,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,quality_aware,5,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-sdl-strategy-sovereign-risk,answerable_by_one_passage,quality_aware,8,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-sur-financial-target-setting,answerable_by_one_passage,baseline,3,SUPPORTED,SUPPORTED,true,0.5000,0.5000,1.0000,false,true,0.8333
sup-sur-financial-target-setting,answerable_by_one_passage,baseline,5,SUPPORTED,SUPPORTED,true,0.5000,0.5000,1.0000,false,true,0.9000
sup-sur-financial-target-setting,answerable_by_one_passage,baseline,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.5000,0.5000,1.0000,false,true,0.9048
sup-sur-financial-target-setting,answerable_by_one_passage,concept_coverage,3,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-sur-financial-target-setting,answerable_by_one_passage,concept_coverage,5,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.9000
sup-sur-financial-target-setting,answerable_by_one_passage,concept_coverage,8,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.9048
sup-sur-financial-target-setting,answerable_by_one_passage,quality_aware,3,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.8333
sup-sur-financial-target-setting,answerable_by_one_passage,quality_aware,5,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.9000
sup-sur-financial-target-setting,answerable_by_one_passage,quality_aware,8,SUPPORTED,PARTIALLY_SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.9048
sup-sur-risk-stakeholder-governance,answerable_by_one_passage,baseline,3,SUPPORTED,SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.5000
sup-sur-risk-stakeholder-governance,answerable_by_one_passage,baseline,5,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,0.3333,0.2500,1.0000,false,true,0.6667
sup-sur-risk-stakeholder-governance,answerable_by_one_passage,baseline,8,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,0.3333,0.2500,1.0000,false,true,0.6667
sup-sur-risk-stakeholder-governance,answerable_by_one_passage,concept_coverage,3,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-sur-risk-stakeholder-governance,answerable_by_one_passage,concept_coverage,5,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,0.3333,0.3333,1.0000,false,true,0.7500
sup-sur-risk-stakeholder-governance,answerable_by_one_passage,concept_coverage,8,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,0.3333,0.3333,1.0000,false,true,0.7500
sup-sur-risk-stakeholder-governance,answerable_by_one_passage,quality_aware,3,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-sur-risk-stakeholder-governance,answerable_by_one_passage,quality_aware,5,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,0.3333,0.3333,1.0000,false,true,0.7500
sup-sur-risk-stakeholder-governance,answerable_by_one_passage,quality_aware,8,SUPPORTED,AMBIGUOUS_OR_CONFLICTING,true,0.3333,0.3333,1.0000,false,true,0.7500
sup-sur-strategy-loadshedding,answerable_by_one_passage,baseline,3,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sur-strategy-loadshedding,answerable_by_one_passage,baseline,5,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-sur-strategy-loadshedding,answerable_by_one_passage,baseline,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-sur-strategy-loadshedding,answerable_by_one_passage,concept_coverage,3,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sur-strategy-loadshedding,answerable_by_one_passage,concept_coverage,5,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-sur-strategy-loadshedding,answerable_by_one_passage,concept_coverage,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-sur-strategy-loadshedding,answerable_by_one_passage,quality_aware,3,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.0000
sup-sur-strategy-loadshedding,answerable_by_one_passage,quality_aware,5,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-sur-strategy-loadshedding,answerable_by_one_passage,quality_aware,8,SUPPORTED,PARTIALLY_SUPPORTED,true,0.3333,0.3333,1.0000,false,true,0.4000
sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,baseline,3,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,baseline,5,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,baseline,8,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,concept_coverage,3,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,concept_coverage,5,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,concept_coverage,8,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,quality_aware,3,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,quality_aware,5,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-multi-act-growth-both-sides,answerable_only_by_multiple_passages,quality_aware,8,SUPPORTED,INSUFFICIENT_EVIDENCE,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-earlier-side-act-labour,answerable_only_from_earlier_side,baseline,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-earlier-side-act-labour,answerable_only_from_earlier_side,baseline,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-earlier-side-act-labour,answerable_only_from_earlier_side,baseline,8,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.0000
sup-earlier-side-act-labour,answerable_only_from_earlier_side,concept_coverage,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.3333
sup-earlier-side-act-labour,answerable_only_from_earlier_side,concept_coverage,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.3333
sup-earlier-side-act-labour,answerable_only_from_earlier_side,concept_coverage,8,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.3333
sup-earlier-side-act-labour,answerable_only_from_earlier_side,quality_aware,3,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.3333
sup-earlier-side-act-labour,answerable_only_from_earlier_side,quality_aware,5,SUPPORTED,SUPPORTED,false,0.0000,0.0000,0.0000,false,true,0.3333
