case_id,category,variant,mode,recall_at_5,recall_at_10,precision_at_5,substantive_precision_at_5,mrr,ndcg_at_10,short_fragment_rate_at_5,short_fragment_rate_at_10,irrelevant_short_fragment_rate_at_5,top_similarity,filter_accurate
kw-governance,direct_keyword,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
kw-governance,direct_keyword,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
kw-governance,direct_keyword,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
kw-governance,direct_keyword,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8000,0.7000,0.8000,,
kw-governance,direct_keyword,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
kw-governance,direct_keyword,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8000,0.7000,0.8000,,
kw-governance,direct_keyword,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
kw-governance,direct_keyword,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8000,0.7000,0.8000,,
kw-governance,direct_keyword,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
kw-governance,direct_keyword,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8000,0.7000,0.8000,,
kw-impairment,direct_keyword,baseline,keyword,1.0000,1.0000,0.0000,0.0000,0.0000,,,,,,
kw-impairment,direct_keyword,remediated,keyword,1.0000,1.0000,0.0000,0.0000,0.0000,,,,,,
kw-impairment,direct_keyword,baseline,semantic_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.8000,0.9000,0.8000,0.7137,
kw-impairment,direct_keyword,baseline,hybrid_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.4000,0.3000,0.4000,,
kw-impairment,direct_keyword,remediated,semantic_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.6000,0.5000,0.6000,0.7137,
kw-impairment,direct_keyword,remediated,hybrid_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.4000,0.3000,0.4000,,
kw-impairment,direct_keyword,baseline,semantic_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.8000,0.9000,0.8000,0.7137,
kw-impairment,direct_keyword,baseline,hybrid_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.4000,0.3000,0.4000,,
kw-impairment,direct_keyword,remediated,semantic_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.6000,0.5000,0.6000,0.7137,
kw-impairment,direct_keyword,remediated,hybrid_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.4000,0.3000,0.4000,,
kw-remuneration,direct_keyword,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
kw-remuneration,direct_keyword,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
kw-remuneration,direct_keyword,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
kw-remuneration,direct_keyword,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.6000,,
kw-remuneration,direct_keyword,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
kw-remuneration,direct_keyword,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.6000,,
kw-remuneration,direct_keyword,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
kw-remuneration,direct_keyword,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.6000,,
kw-remuneration,direct_keyword,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
kw-remuneration,direct_keyword,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.6000,,
phrase-going-concern,phrase,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
phrase-going-concern,phrase,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
phrase-going-concern,phrase,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.4000,0.6000,0.8414,
phrase-going-concern,phrase,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.0000,,
phrase-going-concern,phrase,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.4000,0.6000,0.8414,
phrase-going-concern,phrase,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.0000,,
phrase-going-concern,phrase,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.4000,0.6000,0.8414,
phrase-going-concern,phrase,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.0000,,
phrase-going-concern,phrase,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.4000,0.6000,0.8414,
phrase-going-concern,phrase,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.0000,,
phrase-foreign-currency-risk,phrase,baseline,keyword,1.0000,1.0000,0.4000,0.4000,0.3333,0.9307,,,,,
phrase-foreign-currency-risk,phrase,remediated,keyword,1.0000,1.0000,0.4000,0.4000,0.3333,0.9307,,,,,
phrase-foreign-currency-risk,phrase,baseline,semantic_exact,1.0000,1.0000,0.2000,0.2000,0.3333,0.5000,0.2000,0.1000,0.2000,0.8166,
phrase-foreign-currency-risk,phrase,baseline,hybrid_exact,1.0000,1.0000,0.2000,0.2000,0.5000,0.6309,0.0000,0.0000,0.0000,,
phrase-foreign-currency-risk,phrase,remediated,semantic_exact,1.0000,1.0000,0.2000,0.2000,0.5000,0.6309,0.0000,0.0000,0.0000,0.8166,
phrase-foreign-currency-risk,phrase,remediated,hybrid_exact,1.0000,1.0000,0.2000,0.2000,0.5000,0.6309,0.0000,0.0000,0.0000,,
phrase-foreign-currency-risk,phrase,baseline,semantic_hnsw,1.0000,1.0000,0.2000,0.2000,0.3333,0.5000,0.2000,0.1000,0.2000,0.8166,
phrase-foreign-currency-risk,phrase,baseline,hybrid_hnsw,1.0000,1.0000,0.2000,0.2000,0.5000,0.6309,0.0000,0.0000,0.0000,,
phrase-foreign-currency-risk,phrase,remediated,semantic_hnsw,1.0000,1.0000,0.2000,0.2000,0.5000,0.6309,0.0000,0.0000,0.0000,0.8166,
phrase-foreign-currency-risk,phrase,remediated,hybrid_hnsw,1.0000,1.0000,0.2000,0.2000,0.5000,0.6309,0.0000,0.0000,0.0000,,
phrase-major-customers,phrase,baseline,keyword,1.0000,1.0000,0.2000,0.2000,0.2000,,,,,,
phrase-major-customers,phrase,remediated,keyword,1.0000,1.0000,0.2000,0.2000,0.2000,,,,,,
phrase-major-customers,phrase,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,0.9000,1.0000,0.8775,
phrase-major-customers,phrase,baseline,hybrid_exact,0.0000,1.0000,0.0000,0.0000,0.1250,,0.6000,0.6000,0.6000,,
phrase-major-customers,phrase,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2000,0.3000,0.2000,0.8775,
phrase-major-customers,phrase,remediated,hybrid_exact,0.0000,1.0000,0.0000,0.0000,0.1429,,0.2000,0.1000,0.2000,,
phrase-major-customers,phrase,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,0.9000,1.0000,0.8775,
phrase-major-customers,phrase,baseline,hybrid_hnsw,0.0000,1.0000,0.0000,0.0000,0.1250,,0.6000,0.6000,0.6000,,
phrase-major-customers,phrase,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.2000,0.3000,0.2000,0.8775,
phrase-major-customers,phrase,remediated,hybrid_hnsw,0.0000,1.0000,0.0000,0.0000,0.1429,,0.2000,0.1000,0.2000,,
sem-continue-operating,semantic_paraphrase,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-continue-operating,semantic_paraphrase,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-continue-operating,semantic_paraphrase,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,0.8022,
sem-continue-operating,semantic_paraphrase,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.7000,0.6000,,
sem-continue-operating,semantic_paraphrase,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.8000,0.6000,0.8022,
sem-continue-operating,semantic_paraphrase,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.4000,0.4000,0.4000,,
sem-continue-operating,semantic_paraphrase,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,0.8022,
sem-continue-operating,semantic_paraphrase,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.7000,0.6000,,
sem-continue-operating,semantic_paraphrase,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.8000,0.6000,0.8022,
sem-continue-operating,semantic_paraphrase,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.4000,0.4000,0.4000,,
sem-financial-obligations,semantic_paraphrase,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-financial-obligations,semantic_paraphrase,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-financial-obligations,semantic_paraphrase,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,0.7379,
sem-financial-obligations,semantic_paraphrase,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,,
sem-financial-obligations,semantic_paraphrase,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.4000,0.6000,0.4000,0.7379,
sem-financial-obligations,semantic_paraphrase,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.4000,0.6000,0.4000,,
sem-financial-obligations,semantic_paraphrase,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,0.7379,
sem-financial-obligations,semantic_paraphrase,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,,
sem-financial-obligations,semantic_paraphrase,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.4000,0.6000,0.4000,0.7379,
sem-financial-obligations,semantic_paraphrase,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.4000,0.6000,0.4000,,
sem-board-oversight,semantic_paraphrase,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-board-oversight,semantic_paraphrase,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-board-oversight,semantic_paraphrase,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,0.9000,1.0000,0.8140,
sem-board-oversight,semantic_paraphrase,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.6000,0.6000,,
sem-board-oversight,semantic_paraphrase,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.8000,0.9000,0.8000,0.8140,
sem-board-oversight,semantic_paraphrase,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.4000,0.5000,0.4000,,
sem-board-oversight,semantic_paraphrase,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,0.9000,1.0000,0.8140,
sem-board-oversight,semantic_paraphrase,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.6000,0.6000,,
sem-board-oversight,semantic_paraphrase,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.8000,0.9000,0.8000,0.8140,
sem-board-oversight,semantic_paraphrase,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.4000,0.5000,0.4000,,
sem-currency-movements,semantic_paraphrase,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-currency-movements,semantic_paraphrase,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-currency-movements,semantic_paraphrase,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0909,,0.4000,0.4000,0.4000,0.8562,
sem-currency-movements,semantic_paraphrase,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0625,,0.0000,0.2000,0.0000,,
sem-currency-movements,semantic_paraphrase,remediated,semantic_exact,0.0000,1.0000,0.0000,0.0000,0.1429,,0.0000,0.0000,0.0000,0.8562,
sem-currency-movements,semantic_paraphrase,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0833,,0.0000,0.0000,0.0000,,
sem-currency-movements,semantic_paraphrase,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0909,,0.4000,0.4000,0.4000,0.8562,
sem-currency-movements,semantic_paraphrase,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0625,,0.0000,0.2000,0.0000,,
sem-currency-movements,semantic_paraphrase,remediated,semantic_hnsw,0.0000,1.0000,0.0000,0.0000,0.1429,,0.0000,0.0000,0.0000,0.8562,
sem-currency-movements,semantic_paraphrase,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0833,,0.0000,0.0000,0.0000,,
sem-future-expansion,semantic_paraphrase,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
sem-future-expansion,semantic_paraphrase,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
sem-future-expansion,semantic_paraphrase,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9000,1.0000,0.8341,
sem-future-expansion,semantic_paraphrase,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8000,0.8000,0.8000,,
sem-future-expansion,semantic_paraphrase,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8000,0.7000,0.8000,0.8341,
sem-future-expansion,semantic_paraphrase,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.6000,,
sem-future-expansion,semantic_paraphrase,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.9000,1.0000,0.8341,
sem-future-expansion,semantic_paraphrase,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8000,0.8000,0.8000,,
sem-future-expansion,semantic_paraphrase,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8000,0.7000,0.8000,0.8341,
sem-future-expansion,semantic_paraphrase,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6000,0.6000,0.6000,,
sem-margin-pressure,semantic_paraphrase,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-margin-pressure,semantic_paraphrase,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-margin-pressure,semantic_paraphrase,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.7000,0.6000,0.8716,
sem-margin-pressure,semantic_paraphrase,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0244,,0.4000,0.4000,0.4000,,
sem-margin-pressure,semantic_paraphrase,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.7000,0.6000,0.8716,
sem-margin-pressure,semantic_paraphrase,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0244,,0.4000,0.4000,0.4000,,
sem-margin-pressure,semantic_paraphrase,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.7000,0.6000,0.8716,
sem-margin-pressure,semantic_paraphrase,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0244,,0.4000,0.4000,0.4000,,
sem-margin-pressure,semantic_paraphrase,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.7000,0.6000,0.8716,
sem-margin-pressure,semantic_paraphrase,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0244,,0.4000,0.4000,0.4000,,
sem-major-customer-reliance,semantic_paraphrase,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-major-customer-reliance,semantic_paraphrase,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-major-customer-reliance,semantic_paraphrase,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,0.9000,1.0000,0.7750,
sem-major-customer-reliance,semantic_paraphrase,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,0.9000,1.0000,,
sem-major-customer-reliance,semantic_paraphrase,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.8000,0.4000,0.8000,0.7750,
sem-major-customer-reliance,semantic_paraphrase,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.8000,0.4000,0.8000,,
sem-major-customer-reliance,semantic_paraphrase,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,0.9000,1.0000,0.7750,
sem-major-customer-reliance,semantic_paraphrase,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,0.9000,1.0000,,
sem-major-customer-reliance,semantic_paraphrase,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.8000,0.4000,0.8000,0.7750,
sem-major-customer-reliance,semantic_paraphrase,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.8000,0.4000,0.8000,,
sem-economic-uncertainty,semantic_paraphrase,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-economic-uncertainty,semantic_paraphrase,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
sem-economic-uncertainty,semantic_paraphrase,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,0.8000,1.0000,0.8201,
sem-economic-uncertainty,semantic_paraphrase,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.5000,0.6000,,
sem-economic-uncertainty,semantic_paraphrase,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.8000,0.7000,0.8000,0.8201,
sem-economic-uncertainty,semantic_paraphrase,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.5000,0.6000,,
sem-economic-uncertainty,semantic_paraphrase,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,1.0000,0.8000,1.0000,0.8201,
sem-economic-uncertainty,semantic_paraphrase,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.5000,0.6000,,
sem-economic-uncertainty,semantic_paraphrase,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.8000,0.7000,0.8000,0.8201,
sem-economic-uncertainty,semantic_paraphrase,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0000,,0.6000,0.5000,0.6000,,
company-act-governance,company_specific,baseline,keyword,1.0000,1.0000,0.0000,0.0000,0.0000,,,,,,true
company-act-governance,company_specific,remediated,keyword,1.0000,1.0000,0.0000,0.0000,0.0000,,,,,,true
company-act-governance,company_specific,baseline,semantic_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,1.0000,
company-act-governance,company_specific,baseline,hybrid_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.8000,0.8000,0.8000,,
company-act-governance,company_specific,remediated,semantic_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,1.0000,
company-act-governance,company_specific,remediated,hybrid_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.8000,0.8000,0.8000,,
company-act-governance,company_specific,baseline,semantic_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,1.0000,
company-act-governance,company_specific,baseline,hybrid_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.8000,0.8000,0.8000,,
company-act-governance,company_specific,remediated,semantic_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,1.0000,1.0000,1.0000,1.0000,
company-act-governance,company_specific,remediated,hybrid_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.8000,0.8000,0.8000,,
company-sdl-impairment,company_specific,baseline,keyword,1.0000,1.0000,0.0000,0.0000,0.0000,,,,,,true
company-sdl-impairment,company_specific,remediated,keyword,1.0000,1.0000,0.0000,0.0000,0.0000,,,,,,true
company-sdl-impairment,company_specific,baseline,semantic_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.6000,0.8000,0.6000,0.7137,
company-sdl-impairment,company_specific,baseline,hybrid_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.0000,0.3000,0.0000,,
company-sdl-impairment,company_specific,remediated,semantic_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.0000,0.4000,0.0000,0.7137,
company-sdl-impairment,company_specific,remediated,hybrid_exact,1.0000,1.0000,0.0000,0.0000,0.0000,,0.0000,0.2000,0.0000,,
company-sdl-impairment,company_specific,baseline,semantic_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.6000,0.8000,0.6000,0.7137,
company-sdl-impairment,company_specific,baseline,hybrid_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.0000,0.3000,0.0000,,
company-sdl-impairment,company_specific,remediated,semantic_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.0000,0.4000,0.0000,0.7137,
company-sdl-impairment,company_specific,remediated,hybrid_hnsw,1.0000,1.0000,0.0000,0.0000,0.0000,,0.0000,0.2000,0.0000,,
company-sbp-board-oversight-semantic,company_specific,baseline,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,true
company-sbp-board-oversight-semantic,company_specific,remediated,keyword,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,true
company-sbp-board-oversight-semantic,company_specific,baseline,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0238,,0.0000,0.0000,0.0000,0.7353,
company-sbp-board-oversight-semantic,company_specific,baseline,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0238,,0.0000,0.0000,0.0000,,
company-sbp-board-oversight-semantic,company_specific,remediated,semantic_exact,0.0000,0.0000,0.0000,0.0000,0.0238,,0.0000,0.0000,0.0000,0.7353,
company-sbp-board-oversight-semantic,company_specific,remediated,hybrid_exact,0.0000,0.0000,0.0000,0.0000,0.0238,,0.0000,0.0000,0.0000,,
company-sbp-board-oversight-semantic,company_specific,baseline,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0238,,0.0000,0.0000,0.0000,0.7353,
company-sbp-board-oversight-semantic,company_specific,baseline,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0238,,0.0000,0.0000,0.0000,,
company-sbp-board-oversight-semantic,company_specific,remediated,semantic_hnsw,0.0000,0.0000,0.0000,0.0000,0.0238,,0.0000,0.0000,0.0000,0.7353,
company-sbp-board-oversight-semantic,company_specific,remediated,hybrid_hnsw,0.0000,0.0000,0.0000,0.0000,0.0238,,0.0000,0.0000,0.0000,,
period-act-2023,report_period_specific,baseline,keyword,1.0000,1.0000,0.0000,0.0000,0.0000,,,,,,
period-act-2023,report_period_specific,remediated,keyword,1.0000,1.0000,0.0000,0.0000,0.0000,,,,,,
